Subject,Time,Run,fROI,value,Sentences,Sentences_deriv,Nonwords,Nonwords_deriv,R1,R2,R3,R4,R5,R6
249,1,1,1,675.1081081,0,0,0,0,-0.020216426,-0.024888481,0.083811267,0.000472116,0.000346552,-0.000241569
249,1,1,2,785.7702703,0,0,0,0,-0.020216426,-0.024888481,0.083811267,0.000472116,0.000346552,-0.000241569
249,1,1,3,702.3043478,0,0,0,0,-0.020216426,-0.024888481,0.083811267,0.000472116,0.000346552,-0.000241569
249,1,1,5,682.0644068,0,0,0,0,-0.020216426,-0.024888481,0.083811267,0.000472116,0.000346552,-0.000241569
249,1,1,4,602.3374233,0,0,0,0,-0.020216426,-0.024888481,0.083811267,0.000472116,0.000346552,-0.000241569
249,1,2,1,655.4594595,0,0,0,0,-0.008364664,0.017637987,0.055305858,0.000570404,0.000540067,0.000342574
249,1,2,2,775.7972973,0,0,0,0,-0.008364664,0.017637987,0.055305858,0.000570404,0.000540067,0.000342574
249,1,2,3,702.7173913,0,0,0,0,-0.008364664,0.017637987,0.055305858,0.000570404,0.000540067,0.000342574
249,1,2,5,679.1457627,0,0,0,0,-0.008364664,0.017637987,0.055305858,0.000570404,0.000540067,0.000342574
249,1,2,4,599.595092,0,0,0,0,-0.008364664,0.017637987,0.055305858,0.000570404,0.000540067,0.000342574
249,10,1,4,609.7607362,0.447618185,0.197682775,0,0,-0.009728377,0.006351164,0.039271402,-0.000291271,0.000253325,2.38E-05
249,10,1,5,693.4271186,0.447618185,0.197682775,0,0,-0.009728377,0.006351164,0.039271402,-0.000291271,0.000253325,2.38E-05
249,10,1,3,717.2173913,0.447618185,0.197682775,0,0,-0.009728377,0.006351164,0.039271402,-0.000291271,0.000253325,2.38E-05
249,10,1,2,789.0945946,0.447618185,0.197682775,0,0,-0.009728377,0.006351164,0.039271402,-0.000291271,0.000253325,2.38E-05
249,10,1,1,684.5135135,0.447618185,0.197682775,0,0,-0.009728377,0.006351164,0.039271402,-0.000291271,0.000253325,2.38E-05
249,10,2,4,603.7423313,0,0,0.447618185,0.197682775,0.001586806,-0.049654291,-0.008218103,0.000689404,0.000997144,0.000364937
249,10,2,5,690.5525424,0,0,0.447618185,0.197682775,0.001586806,-0.049654291,-0.008218103,0.000689404,0.000997144,0.000364937
249,10,2,3,712.326087,0,0,0.447618185,0.197682775,0.001586806,-0.049654291,-0.008218103,0.000689404,0.000997144,0.000364937
249,10,2,2,783.3648649,0,0,0.447618185,0.197682775,0.001586806,-0.049654291,-0.008218103,0.000689404,0.000997144,0.000364937
249,10,2,1,665.1081081,0,0,0.447618185,0.197682775,0.001586806,-0.049654291,-0.008218103,0.000689404,0.000997144,0.000364937
249,100,1,5,691.8949153,1.138460086,-0.012512255,0,0,-0.000494615,0.003659471,-0.050121093,0.000750519,-0.000624287,-0.000258926
249,100,1,4,614.6809816,1.138460086,-0.012512255,0,0,-0.000494615,0.003659471,-0.050121093,0.000750519,-0.000624287,-0.000258926
249,100,1,2,790.9459459,1.138460086,-0.012512255,0,0,-0.000494615,0.003659471,-0.050121093,0.000750519,-0.000624287,-0.000258926
249,100,1,3,718.8913043,1.138460086,-0.012512255,0,0,-0.000494615,0.003659471,-0.050121093,0.000750519,-0.000624287,-0.000258926
249,100,1,1,687.4324324,1.138460086,-0.012512255,0,0,-0.000494615,0.003659471,-0.050121093,0.000750519,-0.000624287,-0.000258926
249,100,2,5,686.979661,0,0,1.138460086,-0.012512255,-0.009699813,0.001742645,0.008456301,-0.000529404,0.000388305,0.000918203
249,100,2,4,599.2331288,0,0,1.138460086,-0.012512255,-0.009699813,0.001742645,0.008456301,-0.000529404,0.000388305,0.000918203
249,100,2,2,789.8108108,0,0,1.138460086,-0.012512255,-0.009699813,0.001742645,0.008456301,-0.000529404,0.000388305,0.000918203
249,100,2,3,712.3695652,0,0,1.138460086,-0.012512255,-0.009699813,0.001742645,0.008456301,-0.000529404,0.000388305,0.000918203
