"","ID","status","response","accuracy","target","contrast","item","cswl_list","recruitmentplatform","minimalpair"
"1","58add914ef58a9000119d98c","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","prolific","1"
"2","58add914ef58a9000119d98c","complete","pinre.jpg",1,"pinre.wav","0","9","A","prolific","0"
"3","58add914ef58a9000119d98c","complete","lebno.jpg",1,"lebno.wav","0","8","A","prolific","0"
"4","58add914ef58a9000119d98c","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","prolific","0"
"5","58add914ef58a9000119d98c","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","prolific","1"
"6","58add914ef58a9000119d98c","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","prolific","1"
"7","58add914ef58a9000119d98c","complete","pinre.jpg",1,"pinre.wav","0","10","A","prolific","0"
"8","58add914ef58a9000119d98c","complete","lebno.jpg",1,"lebno.wav","0","7","A","prolific","0"
"9","58add914ef58a9000119d98c","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","prolific","0"
"10","58add914ef58a9000119d98c","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","prolific","1"
"11","5b408780c2e381000176157b","complete","ttapsa.jpg",0,"tapsa.wav","1","1","B","prolific","1"
"12","5b408780c2e381000176157b","complete","pinre.jpg",1,"pinre.wav","0","9","B","prolific","0"
"13","5b408780c2e381000176157b","complete","lebno.jpg",1,"lebno.wav","0","8","B","prolific","0"
"14","5b408780c2e381000176157b","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","prolific","0"
"15","5b408780c2e381000176157b","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","prolific","1"
"16","5b408780c2e381000176157b","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","prolific","1"
"17","5b408780c2e381000176157b","complete","pinre.jpg",1,"pinre.wav","0","10","B","prolific","0"
"18","5b408780c2e381000176157b","complete","lebno.jpg",1,"lebno.wav","0","7","B","prolific","0"
